$ kubectl -n linkerd logs deploy/linkerd-identity -c linkerd-proxy --timestamps
2026-09-14T12:06:16.889016008-07:00 [     0.000100s]  INFO ThreadId(01) linkerd2_proxy: release 2.368.0 (a66af81) by linkerd on 2026-09-02T08:08:20Z
2026-09-14T12:06:16.891132646-07:00 [     0.001379s]  INFO ThreadId(01) linkerd2_proxy::rt: Using single-threaded proxy runtime
2026-09-14T12:06:16.891151063-07:00 [     0.001807s]  INFO ThreadId(01) linkerd2_proxy: Admin interface on 0.0.0.0:4191
2026-09-14T12:06:16.891154938-07:00 [     0.001813s]  INFO ThreadId(01) linkerd2_proxy: Inbound interface on 0.0.0.0:4143
2026-09-14T12:06:16.891155980-07:00 [     0.001814s]  INFO ThreadId(01) linkerd2_proxy: Outbound interface on 127.0.0.1:4140
2026-09-14T12:06:16.891157146-07:00 [     0.001815s]  INFO ThreadId(01) linkerd2_proxy: Tap DISABLED
2026-09-14T12:06:16.891158271-07:00 [     0.001815s]  INFO ThreadId(01) linkerd2_proxy: SNI is linkerd-identity.linkerd.serviceaccount.identity.linkerd.cluster.local
2026-09-14T12:06:16.891159771-07:00 [     0.001816s]  INFO ThreadId(01) linkerd2_proxy: Local identity is linkerd-identity.linkerd.serviceaccount.identity.linkerd.cluster.local
2026-09-14T12:06:16.891161063-07:00 [     0.001817s]  INFO ThreadId(01) linkerd2_proxy: Destinations resolved via linkerd-dst-headless.linkerd.svc.cluster.local:8086 (linkerd-destination.linkerd.serviceaccount.identity.linkerd.cluster.local)
2026-09-14T12:06:16.891162188-07:00 [     0.002247s]  INFO ThreadId(02) identity:identity{server.addr=localhost:8080}:controller{addr=localhost:8080}: linkerd_pool_p2c: Adding endpoint addr=127.0.0.1:8080
2026-09-14T12:06:16.891887443-07:00 [     0.002999s]  WARN ThreadId(01) dst:controller{addr=linkerd-dst-headless.linkerd.svc.cluster.local:8086}: linkerd_app_core::control::balance: Failed to resolve control-plane component error=failed SRV and A record lookups: failed to resolve SRV record: DNS error: no records found for Query { name: Name("linkerd-dst-headless.linkerd.svc.cluster.local."), query_type: SRV, query_class: IN }; failed to resolve A record: DNS error: no records found for Query { name: Name("linkerd-dst-headless.linkerd.svc.cluster.local."), query_type: AAAA, query_class: IN } error.sources=[failed to resolve A record: DNS error: no records found for Query { name: Name("linkerd-dst-headless.linkerd.svc.cluster.local."), query_type: AAAA, query_class: IN }, DNS error: no records found for Query { name: Name("linkerd-dst-headless.linkerd.svc.cluster.local."), query_type: AAAA, query_class: IN }, no records found for Query { name: Name("linkerd-dst-headless.linkerd.svc.cluster.local."), query_type: AAAA, query_class: IN }]
